"site_code","date","pre_mm/month","plotdate","month","year"
"elliot.us","Feb/15/1981",50.4000015258789,1981-02-15,"Feb",1981
"elva.ee","Feb/15/1981",28.3999996185303,1981-02-15,"Feb",1981
"ethamc.au","Feb/15/1981",20.8000011444092,1981-02-15,"Feb",1981
"ethass.au","Feb/15/1981",20.8000011444092,1981-02-15,"Feb",1981
"fnly.us","Feb/15/1981",123.200004577637,1981-02-15,"Feb",1981
"free.de","Feb/15/1981",28.6000003814697,1981-02-15,"Feb",1981
"frue.ch","Feb/15/1981",42.2999992370605,1981-02-15,"Feb",1981
"gall.it","Feb/15/1981",29.6000003814697,1981-02-15,"Feb",1981
"gcnban.cn","Feb/15/1981",0.900000035762787,1981-02-15,"Feb",1981
"gcndan.cn","Feb/15/1981",0,1981-02-15,"Feb",1981
"gcnhai.cn","Feb/15/1981",0.5,1981-02-15,"Feb",1981
"gcnhon.cn","Feb/15/1981",3.20000004768372,1981-02-15,"Feb",1981
"gcnhul.cn","Feb/15/1981",5.59999990463257,1981-02-15,"Feb",1981
"gcnnaq.cn","Feb/15/1981",1.10000002384186,1981-02-15,"Feb",1981
"gcnsui.cn","Feb/15/1981",2.5,1981-02-15,"Feb",1981
"gcnura.cn","Feb/15/1981",0,1981-02-15,"Feb",1981
"gcnxil.cn","Feb/15/1981",2.79999995231628,1981-02-15,"Feb",1981
"gcnyan.cn","Feb/15/1981",0.699999988079071,1981-02-15,"Feb",1981
"gcnyou.cn","Feb/15/1981",5,1981-02-15,"Feb",1981
"gilb.za","Feb/15/1981",121.5,1981-02-15,"Feb",1981
"glac.us","Feb/15/1981",237.900009155273,1981-02-15,"Feb",1981
"glcr.us","Feb/15/1981",12.5,1981-02-15,"Feb",1981
"hall.us","Feb/15/1981",109.400001525879,1981-02-15,"Feb",1981
"hart.us","Feb/15/1981",20.8999996185303,1981-02-15,"Feb",1981
"hast.us","Feb/15/1981",96.3000030517578,1981-02-15,"Feb",1981
"hero.uk","Feb/15/1981",26.5,1981-02-15,"Feb",1981
"hnvr.us","Feb/15/1981",194.699996948242,1981-02-15,"Feb",1981
"hogone.us","Feb/15/1981",85,1981-02-15,"Feb",1981
"hogtwo.us","Feb/15/1981",85,1981-02-15,"Feb",1981
"hopl.us","Feb/15/1981",101,1981-02-15,"Feb",1981
"hustai.mn","Feb/15/1981",3.40000009536743,1981-02-15,"Feb",1981
"jasp.us","Feb/15/1981",55.5,1981-02-15,"Feb",1981
"jena.de","Feb/15/1981",23.1000003814697,1981-02-15,"Feb",1981
"jorn.us","Feb/15/1981",6.70000028610229,1981-02-15,"Feb",1981
