"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"bnbt.us","Mar/16/1981",7.59999990463257,1981-03-16,"Mar",1981
"bnch.us","Mar/16/1981",1.89999997615814,1981-03-16,"Mar",1981
"bogong.au","Mar/16/1981",13.5,1981-03-16,"Mar",1981
"bttr.us","Mar/16/1981",1.89999997615814,1981-03-16,"Mar",1981
"bunya.au","Mar/16/1981",22.3000011444092,1981-03-16,"Mar",1981
"burrawan.au","Mar/16/1981",23.3999996185303,1981-03-16,"Mar",1981
"burren.ie","Mar/16/1981",7.80000019073486,1981-03-16,"Mar",1981
"bynb.cn","Mar/16/1981",-6.09999990463257,1981-03-16,"Mar",1981
"cbgb.us","Mar/16/1981",5.20000028610229,1981-03-16,"Mar",1981
"cdcr.us","Mar/16/1981",2.10000014305115,1981-03-16,"Mar",1981
"cdpt.us","Mar/16/1981",4.30000019073486,1981-03-16,"Mar",1981
"cereep.fr","Mar/16/1981",10.5,1981-03-16,"Mar",1981
"chilcas.ar","Mar/16/1981",18.1000003814697,1981-03-16,"Mar",1981
"comp.pt","Mar/16/1981",14.8000001907349,1981-03-16,"Mar",1981
"cowi.ca","Mar/16/1981",6.5,1981-03-16,"Mar",1981
"derr.au","Mar/16/1981",17.2000007629395,1981-03-16,"Mar",1981
"doane.us","Mar/16/1981",5.70000028610229,1981-03-16,"Mar",1981
"drake.za","Mar/16/1981",18.1000003814697,1981-03-16,"Mar",1981
"elkh.us","Mar/16/1981",11.6999998092651,1981-03-16,"Mar",1981
"elliot.us","Mar/16/1981",14.9000005722046,1981-03-16,"Mar",1981
"elva.ee","Mar/16/1981",-4,1981-03-16,"Mar",1981
"ethamc.au","Mar/16/1981",26.6000003814697,1981-03-16,"Mar",1981
"ethass.au","Mar/16/1981",26.6000003814697,1981-03-16,"Mar",1981
"fnly.us","Mar/16/1981",8.30000019073486,1981-03-16,"Mar",1981
"free.de","Mar/16/1981",9.30000019073486,1981-03-16,"Mar",1981
"frue.ch","Mar/16/1981",6.80000019073486,1981-03-16,"Mar",1981
"gall.it","Mar/16/1981",9.40000057220459,1981-03-16,"Mar",1981
"gcnban.cn","Mar/16/1981",-6.5,1981-03-16,"Mar",1981
"gcndan.cn","Mar/16/1981",-5.20000028610229,1981-03-16,"Mar",1981
"gcnhai.cn","Mar/16/1981",-6.20000028610229,1981-03-16,"Mar",1981
"gcnhon.cn","Mar/16/1981",0,1981-03-16,"Mar",1981
"gcnhul.cn","Mar/16/1981",-10.9000005722046,1981-03-16,"Mar",1981
"gcnnaq.cn","Mar/16/1981",-7.5,1981-03-16,"Mar",1981
"gcnsui.cn","Mar/16/1981",-4.5,1981-03-16,"Mar",1981
