"sitename","tmp_degrees_Celsius","plotdate","pre_mm/month","Month"
"kibber.in",-7.09999990463257,1981-03-16,57.4000015258789,3
"kidman.au",29,1981-03-16,37.7999992370605,3
"kilp.fi",-17.8999996185303,1981-03-16,60.4000015258789,3
"kiny.au",18,1981-03-16,22.8000011444092,3
"kirik.ee",-3.90000009536743,1981-03-16,42.6000022888184,3
"koffler.ca",-1,1981-03-16,32.5,3
"konz.us",8,1981-03-16,39.2999992370605,3
"konzn1b.us",8,1981-03-16,39.2999992370605,3
"lagoas.br",27.1000003814697,1981-03-16,147.300003051758,3
"lake.us",2.79999995231628,1981-03-16,30,3
"lakta.se",-16.7000007629395,1981-03-16,61.4000015258789,3
"lancaster.uk",6.70000028610229,1981-03-16,216.900009155273,3
"lead.us",8.30000019073486,1981-03-16,175.400009155273,3
"look.us",4.40000009536743,1981-03-16,111.400001525879,3
"lubb.us",10.8000001907349,1981-03-16,26.7000007629395,3
"marc.ar",17.3000011444092,1981-03-16,54,3
"mcdan.us",4.59999990463257,1981-03-16,33.2000007629395,3
"mcla.us",9.80000019073486,1981-03-16,120.099998474121,3
"meto.us",7,1981-03-16,44.6000022888184,3
"mitch.au",26.7000007629395,1981-03-16,34.6000022888184,3
"msla.us",2.60000014305115,1981-03-16,27.5,3
"msum.us",0.800000011920929,1981-03-16,18.3000011444092,3
"mtca.au",22.3000011444092,1981-03-16,3.70000004768372,3
"neba.jp",3.29999995231628,1981-03-16,134,3
"nilla.au",16.5,1981-03-16,60.6000022888184,3
"nioo.nl",8.10000038146973,1981-03-16,126.5,3
"niwo.us",1,1981-03-16,52.6000022888184,3
"ovor.mn",-7,1981-03-16,8.40000057220459,3
"pampa.ar",19.7000007629395,1981-03-16,33.7000007629395,3
"pape.de",7,1981-03-16,129.400009155273,3
"pich.ec",15.9000005722046,1981-03-16,225.900009155273,3
"ping.au",21.2000007629395,1981-03-16,3.29999995231628,3
"pinj.au",23.8999996185303,1981-03-16,25.7000007629395,3
"podo.ec",16.3999996185303,1981-03-16,156.900009155273,3
"potrok.ar",9.19999980926514,1981-03-16,37.2000007629395,3
"ramsay.us",14.6000003814697,1981-03-16,108.300003051758,3
"rook.uk",7.90000009536743,1981-03-16,131.900009155273,3
"saana.fi",-17.8999996185303,1981-03-16,60.4000015258789,3
"sage.us",1.5,1981-03-16,117.800003051758,3
"saline.us",6.70000028610229,1981-03-16,52.4000015258789,3
"sava.us",11.6999998092651,1981-03-16,70.8000030517578,3
"sedg.us",11,1981-03-16,163.800003051758,3
"sereng.tz",22.1000003814697,1981-03-16,215.800003051758,3
"sevi.us",4.70000028610229,1981-03-16,24.3000011444092,3
"sgs.us",3.70000004768372,1981-03-16,41.4000015258789,3
"shps.us",1.5,1981-03-16,25.8000011444092,3
"sier.us",9.80000019073486,1981-03-16,192.300003051758,3
