"site_code","date","pre_mm/month","plotdate","month","year"
"burrawan.au","Feb/15/2001",111.5,2001-02-15,"Feb",2001
"burren.ie","Feb/15/2001",69.3000030517578,2001-02-15,"Feb",2001
"bynb.cn","Feb/15/2001",4.20000028610229,2001-02-15,"Feb",2001
"cbgb.us","Feb/15/2001",61.4000015258789,2001-02-15,"Feb",2001
"cdcr.us","Feb/15/2001",39,2001-02-15,"Feb",2001
"cdpt.us","Feb/15/2001",14.9000005722046,2001-02-15,"Feb",2001
"cereep.fr","Feb/15/2001",38.6000022888184,2001-02-15,"Feb",2001
"chilcas.ar","Feb/15/2001",108.599998474121,2001-02-15,"Feb",2001
"comp.pt","Feb/15/2001",91,2001-02-15,"Feb",2001
"cowi.ca","Feb/15/2001",76.0999984741211,2001-02-15,"Feb",2001
"derr.au","Feb/15/2001",22.1000003814697,2001-02-15,"Feb",2001
"doane.us","Feb/15/2001",49.5,2001-02-15,"Feb",2001
"drake.za","Feb/15/2001",100.400001525879,2001-02-15,"Feb",2001
"elkh.us","Feb/15/2001",220.300003051758,2001-02-15,"Feb",2001
"elliot.us","Feb/15/2001",97.5999984741211,2001-02-15,"Feb",2001
"elva.ee","Feb/15/2001",44.6000022888184,2001-02-15,"Feb",2001
"ethamc.au","Feb/15/2001",34,2001-02-15,"Feb",2001
"ethass.au","Feb/15/2001",34,2001-02-15,"Feb",2001
"fnly.us","Feb/15/2001",54.7999992370605,2001-02-15,"Feb",2001
"free.de","Feb/15/2001",38.2000007629395,2001-02-15,"Feb",2001
"frue.ch","Feb/15/2001",74,2001-02-15,"Feb",2001
"gall.it","Feb/15/2001",54,2001-02-15,"Feb",2001
"gcnban.cn","Feb/15/2001",1.20000004768372,2001-02-15,"Feb",2001
"gcndan.cn","Feb/15/2001",0,2001-02-15,"Feb",2001
"gcnhai.cn","Feb/15/2001",0.400000005960464,2001-02-15,"Feb",2001
"gcnhon.cn","Feb/15/2001",9,2001-02-15,"Feb",2001
"gcnhul.cn","Feb/15/2001",1,2001-02-15,"Feb",2001
"gcnnaq.cn","Feb/15/2001",1.20000004768372,2001-02-15,"Feb",2001
"gcnsui.cn","Feb/15/2001",0.900000035762787,2001-02-15,"Feb",2001
"gcnura.cn","Feb/15/2001",0,2001-02-15,"Feb",2001
"gcnxil.cn","Feb/15/2001",1.20000004768372,2001-02-15,"Feb",2001
"gcnyan.cn","Feb/15/2001",3.40000009536743,2001-02-15,"Feb",2001
"gcnyou.cn","Feb/15/2001",2.5,2001-02-15,"Feb",2001
"gilb.za","Feb/15/2001",91.3000030517578,2001-02-15,"Feb",2001
"glac.us","Feb/15/2001",82.0999984741211,2001-02-15,"Feb",2001
"glcr.us","Feb/15/2001",40.7999992370605,2001-02-15,"Feb",2001
"hall.us","Feb/15/2001",159.199996948242,2001-02-15,"Feb",2001
"hart.us","Feb/15/2001",12.5,2001-02-15,"Feb",2001
"hast.us","Feb/15/2001",269.800018310547,2001-02-15,"Feb",2001
"hero.uk","Feb/15/2001",96,2001-02-15,"Feb",2001
"hnvr.us","Feb/15/2001",69.4000015258789,2001-02-15,"Feb",2001
"hogone.us","Feb/15/2001",63.5,2001-02-15,"Feb",2001
"hogtwo.us","Feb/15/2001",63.5,2001-02-15,"Feb",2001
"hopl.us","Feb/15/2001",235.100006103516,2001-02-15,"Feb",2001
"hustai.mn","Feb/15/2001",0.900000035762787,2001-02-15,"Feb",2001
"jasp.us","Feb/15/2001",177.900009155273,2001-02-15,"Feb",2001
"jena.de","Feb/15/2001",30.1000003814697,2001-02-15,"Feb",2001
"jorn.us","Feb/15/2001",15.5,2001-02-15,"Feb",2001
"kark.se","Feb/15/2001",86,2001-02-15,"Feb",2001
"kbs.us","Feb/15/2001",86.2000045776367,2001-02-15,"Feb",2001
"kibber.in","Feb/15/2001",23.3000011444092,2001-02-15,"Feb",2001
"kidman.au","Feb/15/2001",341.100006103516,2001-02-15,"Feb",2001
"kilp.fi","Feb/15/2001",76.7000045776367,2001-02-15,"Feb",2001
"kiny.au","Feb/15/2001",30.1000003814697,2001-02-15,"Feb",2001
"kirik.ee","Feb/15/2001",49.6000022888184,2001-02-15,"Feb",2001
"koffler.ca","Feb/15/2001",51.7999992370605,2001-02-15,"Feb",2001
"konz.us","Feb/15/2001",73.7000045776367,2001-02-15,"Feb",2001
"konzn1b.us","Feb/15/2001",73.7000045776367,2001-02-15,"Feb",2001
"lagoas.br","Feb/15/2001",193.100006103516,2001-02-15,"Feb",2001
"lake.us","Feb/15/2001",17.8999996185303,2001-02-15,"Feb",2001
"lakta.se","Feb/15/2001",72.3000030517578,2001-02-15,"Feb",2001
"lancaster.uk","Feb/15/2001",99.9000015258789,2001-02-15,"Feb",2001
"lead.us","Feb/15/2001",102.700004577637,2001-02-15,"Feb",2001
"look.us","Feb/15/2001",66.7000045776367,2001-02-15,"Feb",2001
"lubb.us","Feb/15/2001",20.3999996185303,2001-02-15,"Feb",2001
"marc.ar","Feb/15/2001",110.800003051758,2001-02-15,"Feb",2001
"mcdan.us","Feb/15/2001",45,2001-02-15,"Feb",2001
"mcla.us","Feb/15/2001",202.699996948242,2001-02-15,"Feb",2001
"meto.us","Feb/15/2001",63.5,2001-02-15,"Feb",2001
"mitch.au","Feb/15/2001",33.9000015258789,2001-02-15,"Feb",2001
"msla.us","Feb/15/2001",21.7000007629395,2001-02-15,"Feb",2001
"msum.us","Feb/15/2001",14,2001-02-15,"Feb",2001
"mtca.au","Feb/15/2001",21.3000011444092,2001-02-15,"Feb",2001
"neba.jp","Feb/15/2001",51.7000007629395,2001-02-15,"Feb",2001
"nilla.au","Feb/15/2001",45.5,2001-02-15,"Feb",2001
"nioo.nl","Feb/15/2001",73.3000030517578,2001-02-15,"Feb",2001
"niwo.us","Feb/15/2001",17.5,2001-02-15,"Feb",2001
"ovor.mn","Feb/15/2001",0.400000005960464,2001-02-15,"Feb",2001
"pampa.ar","Feb/15/2001",91.4000015258789,2001-02-15,"Feb",2001
"pape.de","Feb/15/2001",60,2001-02-15,"Feb",2001
"pich.ec","Feb/15/2001",116.700004577637,2001-02-15,"Feb",2001
"ping.au","Feb/15/2001",9.19999980926514,2001-02-15,"Feb",2001
"pinj.au","Feb/15/2001",173.5,2001-02-15,"Feb",2001
"podo.ec","Feb/15/2001",122.200004577637,2001-02-15,"Feb",2001
"potrok.ar","Feb/15/2001",21.5,2001-02-15,"Feb",2001
"ramsay.us","Feb/15/2001",91.5999984741211,2001-02-15,"Feb",2001
"rook.uk","Feb/15/2001",96,2001-02-15,"Feb",2001
"saana.fi","Feb/15/2001",76.7000045776367,2001-02-15,"Feb",2001
"sage.us","Feb/15/2001",131.800003051758,2001-02-15,"Feb",2001
"saline.us","Feb/15/2001",40.9000015258789,2001-02-15,"Feb",2001
"sava.us","Feb/15/2001",63.6000022888184,2001-02-15,"Feb",2001
"sedg.us","Feb/15/2001",144.199996948242,2001-02-15,"Feb",2001
"sereng.tz","Feb/15/2001",52.4000015258789,2001-02-15,"Feb",2001
"sevi.us","Feb/15/2001",19.5,2001-02-15,"Feb",2001
"sgs.us","Feb/15/2001",7.59999990463257,2001-02-15,"Feb",2001
"shps.us","Feb/15/2001",17.3000011444092,2001-02-15,"Feb",2001
